Año,recaudo,recaudo_1000000000,IPVU_real_total,IPVU_real_medellin,IPVU_nom_total,IPVU_nom_medellin,IPVU_real_VIS,IPVU_real_noVIS,IPVU_nom_VIS,IPVU_nom_noVIS,PIB,PIB_variacion_total_anual,PIB_ph_variacion_anual,inflacion,tasa_ocupacion,tasa_desempleo,tasa_ocupacion_7a,tasa_desempelo_7a,DTF,tasa_interv_br,cambio_trm,tasa_int_real,var_anual_pib
2010," $ 80,865,240,581.00 ", $ 80.87 ,96.21,98.39,"1,041.79","1,038.41",96.98,96.44,"1,050.16","1,044.29",3.40253313166517,4.5,3.4,3.17,55.93,11.12,60.25,10.41,3.50%,3.00%,"1,913.98",0.3%,4.49%
2011," $ 119,424,822,906.00 ", $ 119.42 ,100.82,101.05,"1,129.44","1,105.45",97.75,101.79,"1,095.00","1,140.24",5.91724426422576,6.9,5.8,3.73,58.52,9.82,61.54,9.89,5.12%,4.75%,"1,942.70",1.4%,6.95%
2012," $ 144,408,052,587.00 ", $ 144.41 ,108.17,105.30,"1,250.47","1,189.05",104.16,109.24,"1,204.13","1,262.85",2.98127287338662,3.9,2.9,2.44,58.41,9.55,61.91,9.67,5.22%,4.25%,"1,768.23",2.8%,3.91%
2013," $ 202,719,390,060.00 ", $ 202.72 ,116.33,110.96,"1,373.05","1,278.19",112.36,117.21,"1,326.09","1,383.42",4.18482189717086,5.1,4.1,1.94,59.06,8.44,62.24,8.86,4.06%,3.25%,"1,926.83",2.1%,5.13%
2014," $ 222,148,479,497.00 ", $ 222.15 ,122.11,116.79,"1,483.65","1,381.80",114.78,123.41,"1,394.62","1,499.44",3.44839523191438,4.5,3.5,3.66,58.88,8.72,63.58,8.68,4.34%,4.50%,"2,392.46",0.7%,4.50%
2015," $ 207,013,206,785.00 ", $ 207.01 ,126.55,117.73,"1,614.04","1,465.57",113.45,128.68,"1,446.91","1,641.23",1.75788371739232,3.0,2.0,6.77,59.52,8.59,63.08,8.69,4.92%,5.75%,"3,149.47",-1.53%,2.96%
2016," $ 307,436,972,798.00 ", $ 307.44 ,131.66,123.20,"1,805.94","1,649.49",123.92,132.78,"1,699.80","1,821.32",0.70068863785022,2.1,1.0,5.75,58.98,8.74,62.62,8.84,6.92%,7.50%,"3,000.71",1.17%,2.09%
2017," $ 427,657,584,077.00 ", $ 427.66 ,134.40,126.35,"1,925.09","1,778.15",122.86,135.89,"1,759.82","1,946.34",-0.163409332080448,1.4,0.1,4.09,58.70,8.63,61.09,9.49,5.28%,4.75%,"2,984.00",1.19%,1.36%
2018," $ 454,912,305,336.00 ", $ 454.91 ,137.86,130.93,"2,039.82","1,907.68",127.74,138.96,"1,890.11","2,056.19",1.01285604228866,2.6,0.8,3.18,58.73,9.72,60.23,9.92,4.54%,4.25%,"3,249.75",1.36%,2.56%
2019," $ 558,402,210,433.00 ", $ 558.40 ,141.79,138.83,"2,172.29","2,108.14",138.57,141.88,"2,122.97","2,173.76",1.88927448744572,3.3,0.9,3.80,57.50,9.53,60.48,10.25,4.52%,4.25%,"3,277.14",0.72%,3.28%
2020," $ 632,429,977,432.00 ", $ 632.43 ,142.96,142.20,"2,246.07","2,225.75",142.42,142.73,"2,237.72","2,242.46",-7.84220649047282,-6.8,-8.6,1.61,53.41,13.37,54.97,15.91,1.93%,1.75%,"3,432.50",0.31%,-6.85%
